%id%;%customer%;%timespend%
PSDT2-111;AS Watson;0
PSDT2-109;Yanmar;0
PSDT2-95;Yanmar;0
PSDT2-89;Specialized EU;0
PSDT2-104;Yanmar;1055
PSDT2-33;Yanmar;960
PSDT2-118;;480
PSDT2-116;;480
PSDT2-107;Yanmar;420
PSDT2-117;Yanmar;360
PSDT2-105;Provincie Gelderland;300
PSDT2-110;;270
PSDT2-108;Provincie Gelderland;240
PSDT2-114;Yanmar;90
PSDT2-112;Yanmar;90
PSDT2-115;Provincie Gelderland;60
PSDT2-113;Yanmar;30
PSDT2-106;Provincie Gelderland;15
PSDT2-97;Specialized LATAM;5
